faultNumber,simulationRun,sample,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11,Target
1,343.0,21,0.21321,3643.0,4523.8,9.1786,26.903,41.97,2708.9,74.379,120.37,0.34273,80.127,50.501,2638.1,25.112,50.977,3106.7,21.884,65.598,228.38,341.82,94.703,77.393,32.185,8.9154,26.15,6.983,18.542,1.636,32.793,13.83,23.983,1.1923,18.343,2.2474,4.7424,2.3143,0.017213,0.8264,0.097911,53.773,43.83,63.234,53.588,20.749,62.498,22.223,40.227,39.574,48.795,46.509,39.982,20.605,1
1,343.0,22,0.21139,3667.6,4519.7,9.5468,27.041,42.348,2711.4,74.605,120.37,0.33806,80.143,48.487,2639.7,23.176,51.19,3109.3,23.685,65.586,226.46,340.48,94.764,77.347,32.185,8.9154,26.15,6.983,18.542,1.636,32.793,13.83,23.983,1.1923,18.343,2.2474,4.7424,2.3143,0.017213,0.8264,0.097911,53.773,43.83,62.81,53.638,20.928,60.529,22.339,40.796,33.648,49.289,46.813,40.783,16.325,1
1,343.0,23,0.24525,3613.3,4543.5,9.2977,27.099,42.155,2713.8,75.076,120.38,0.33775,80.12,51.301,2642.0,26.21,49.744,3114.6,22.655,65.611,227.29,339.03,94.86,77.376,32.315,9.0373,26.606,6.9763,18.432,1.6461,33.217,13.801,23.944,1.2822,18.394,2.2392,4.8495,2.3467,0.017213,0.8264,0.097911,53.773,43.83,62.996,54.107,23.889,60.146,21.726,40.593,41.929,45.942,46.873,40.361,18.762,1
1,343.0,24,0.24262,3628.3,4561.6,9.244,26.943,42.31,2718.5,75.285,120.38,0.33748,80.187,50.134,2647.0,24.357,50.852,3119.7,23.388,65.642,228.73,338.48,94.913,77.201,32.315,9.0373,26.606,6.9763,18.432,1.6461,33.217,13.801,23.944,1.2822,18.394,2.2392,4.8495,2.3467,0.017213,0.8264,0.097911,53.773,43.83,62.737,53.889,24.146,62.915,21.488,40.626,38.495,48.507,46.877,40.708,17.031,1
1,343.0,25,0.23004,3610.6,4576.7,9.3267,26.609,42.144,2722.3,74.092,120.41,0.33255,80.192,48.581,2650.4,24.4,50.851,3125.4,23.714,65.624,229.38,337.18,94.943,77.678,31.105,8.8542,27.128,6.8299,18.505,1.5952,32.783,13.894,24.614,1.2071,18.088,2.2497,4.8102,2.3182,0.017213,0.8264,0.097911,53.773,43.83,63.009,54.028,22.785,63.397,21.367,40.442,33.925,48.504,46.952,40.905,16.216,1
1,343.0,26,0.23157,3661.6,4549.8,9.4066,26.652,42.068,2729.5,74.917,120.38,0.33241,80.395,49.057,2656.1,23.643,49.859,3133.5,23.054,65.675,226.75,335.65,94.894,77.923,31.105,8.8542,27.128,6.8299,18.505,1.5952,32.783,13.894,24.614,1.2071,18.088,2.2497,4.8102,2.3182,-0.0015845,0.83991,0.094478,54.517,43.3,62.131,54.351,22.635,60.765,20.985,40.46,35.324,46.208,46.756,39.914,17.742,1
1,343.0,27,0.35168,3672.0,4541.0,9.3279,27.074,42.445,2736.3,74.668,120.4,0.34287,80.508,49.553,2664.5,23.571,50.339,3144.0,23.222,65.722,226.27,334.61,94.809,77.942,31.153,8.8635,27.362,6.7102,18.519,1.6451,31.938,13.804,24.924,1.3096,18.378,2.266,4.8365,2.232,-0.0015845,0.83991,0.094478,54.517,43.3,63.216,54.327,34.821,60.956,21.038,41.705,36.784,47.319,46.68,41.362,17.311,1
1,343.0,28,0.35273,3638.9,4546.2,9.2862,26.933,42.073,2740.7,74.447,120.42,0.34326,80.395,49.499,2668.3,25.492,50.737,3150.1,24.025,65.761,225.94,333.66,94.702,77.268,31.153,8.8635,27.362,6.7102,18.519,1.6451,31.938,13.804,24.924,1.3096,18.378,2.266,4.8365,2.232,-0.0015845,0.83991,0.094478,54.517,43.3,63.786,54.266,34.718,61.538,20.842,41.657,36.625,48.239,46.592,41.081,15.432,1
1,343.0,29,0.35917,3701.8,4514.7,9.267,27.102,42.512,2742.6,74.845,120.39,0.33533,79.949,49.267,2668.2,26.309,49.202,3153.8,22.826,65.646,229.08,332.97,94.728,77.15,30.982,8.9297,27.856,6.8198,18.809,1.643,31.814,13.907,25.706,1.0951,18.574,2.2579,4.7577,2.3805,-0.0015845,0.83991,0.094478,54.517,43.3,63.86,54.653,35.334,62.964,20.374,40.247,35.944,44.688,46.2,39.802,18.301,1
1,343.0,30,0.36043,3698.0,4528.4,9.2375,26.884,42.47,2745.8,75.538,120.44,0.33734,79.824,49.767,2672.5,24.53,50.399,3157.1,22.268,65.527,227.59,332.19,94.729,77.089,30.982,8.9297,27.856,6.8198,18.809,1.643,31.814,13.907,25.706,1.0951,18.574,2.2579,4.7577,2.3805,-0.0015845,0.83991,0.094478,54.517,43.3,63.924,54.49,35.211,63.049,20.572,40.001,37.413,47.458,46.228,40.643,19.648,1
