,CBC_Closed,CBC_close,CBC_isOpen,CBC_open,ExU_On,ExU_isOff,HP_Pump_isOff,LP_Pump_On,MPA_A_701124,MPA_InitPos,MPA_WorkPos,MPA_toInitPos,MPA_toWorkPos,MPC_Closed,MPC_close,MPC_isOpen,MPC_open,MP_Inactive,M_Lifebit,M_PowerOnDuration,M_WarnWithStacklight,Prog_A_701330,Prog_CuttingTime,Prog_CycleTime,Prog_LineNo,Prog_Name,Prog_Name_LineNo,SL_Green,SL_Red,SR_A_67040,Spd_ActPos_C,Spd_ActPos_X,Spd_ActPos_Z,Spd_ActSpeed_C,Spd_ActSpeed_X,Spd_ActSpeed_Z,Spd_InnerCoolOn,Spd_OuterCoolOn,TL_Locked,TL_lock,TL_unlock,T_A_701309,T_ActToolIdent,WCL_InitPos,WCL_Locked,WCL_Unlocked,WCL_WorkPos,WCL_toInitPos,WCL_toWorkPos,SRL_lock,SRL_unlock,SRL_Unlocked,CLF_Filter_Ok,CLT_Level_lt_Min,F_Filter_Ok,HP_Pump_Ok,Hyd_Filter_Ok,Hyd_IsEnabled,Hyd_Level_Ok,Hyd_Pump_Ok,Hyd_Pump_On,Hyd_Pump_isOff,Hyd_Temp_lt_70,Hyd_Temp_lt_80,Hyd_Valve_P_Up,LP_Pump_Ok,LT_Level_Ok,LT_Pump_Ok,Lubr_On,Lubr_P_Ok,M_ErrorActive,M_WarnActive,SL_Yellow,SRL_Locked,SR_loosen,SR_tighten,WC_inPos,WC_collet_inPos,WC_finPart_inPos,WC_inTendingPos,WC_rawPart_inPos,label
0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,134.0,1.0,0.0,136092.108,89.332,60.16881,22.37063,69.62972,1.0,0.0,0.0,125.394,150.0,495.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,831.99823,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,13.0,1.0,0.0,134760.526,91.43,60.16881,22.37063,69.62972,1.0,0.0,0.0,199.324,150.0,495.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,831.99823,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,146.0,1.0,1.0,136205.576,92.45,60.16881,22.37063,69.62972,1.0,0.0,0.0,83.481,150.0,495.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,831.99823,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,30.0,1.0,0.0,134930.87,121.024,95.81183,324.73953,115.45782,1.0,0.0,0.0,112.41,59.826,495.0,-60272.1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,471.62778,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,64.0,1.0,0.0,135339.82,89.502,95.81183,324.73953,115.45782,1.0,0.0,0.0,100.344,59.826,495.0,-60272.1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,471.62778,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,67.0,1.0,0.0,135382.404,162.566,95.81183,324.73953,115.45782,1.0,1.0,0.0,222.146,59.826,495.0,-60272.1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,471.62778,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,48.0,1.0,0.0,135146.75,121.6,95.81183,324.73953,115.45782,1.0,0.0,0.0,156.359,59.826,495.0,-60272.1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,471.62778,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,74.0,1.0,1.0,135453.312,96.1,95.81183,324.73953,115.45782,1.0,0.0,0.0,222.021,59.826,495.0,-60272.1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,471.62778,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,46082.0,0.0,0.0,7830439.423,12286.096,53.17364,1000.0,64.39418,1.0,0.0,0.0,0.947,70.179,239.861,-64770.996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1000.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
9,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,46132.0,0.0,0.0,7830883.113,15315.286,34.84121,76.9615,41.43666,1.0,0.0,0.0,138.75,150.0,495.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1000.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
